Car,Location,Fuel,Transmission,Owner,ODO,Age,Mileage,Engine,Power,Seats,SP,CP
Honda Jazz V,Chennai,Petrol,Manual,First,46000,12,15.625,1199.0,88.7,5.0,4.5,8.61
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,Diesel,Automatic,First,36000,7,11.36,2755.0,171.5,8.0,17.5,21.0
Maruti Ciaz Zeta,Kochi,Petrol,Manual,First,25692,5,21.56,1462.0,103.25,5.0,9.95,10.65
Mitsubishi Pajero Sport 4X4,Delhi,Diesel,Manual,First,110000,9,13.5,2477.0,175.56,7.0,15.0,32.01
BMW 3 Series 320d,Kochi,Diesel,Automatic,First,32982,9,22.69,1995.0,190.0,5.0,18.55,47.87
Honda WRV i-VTEC VX,Kochi,Petrol,Manual,First,37430,5,17.5,1199.0,88.7,5.0,9.9,10.57
Volkswagen Vento 1.6 Highline,Coimbatore,Petrol,Manual,Second,55431,9,16.09,1598.0,103.5,5.0,6.98,12.33
Maruti Vitara Brezza ZDi Plus,Kochi,Diesel,Manual,First,50075,5,24.3,1248.0,88.5,5.0,8.63,11.12
Hyundai Elantra 2.0 SX Option AT,Bangalore,Petrol,Automatic,First,46374,9,14.62,1999.0,149.92,5.0,8.85,23.64
Toyota Innova Crysta 2.7 GX MT,Bangalore,Petrol,Manual,First,70704,11,11.25,2694.0,163.7,7.0,10.95,18.64
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,Diesel,Manual,First,22000,6,13.68,2393.0,147.8,8.0,16.5,19.34
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,Diesel,Automatic,First,15369,4,0.0,1950.0,194.0,5.0,35.67,49.14
Hyundai Creta 1.4 E Plus Diesel,Mumbai,Diesel,Manual,First,13000,5,22.1,1396.0,88.7,5.0,10.5,11.81
Nissan Terrano XV D Pre,Kochi,Diesel,Manual,First,56066,8,19.64,1461.0,108.5,5.0,6.92,16.65
Tata Zest Revotron 1.2T XE,Pune,Petrol,Manual,First,70000,6,17.57,1193.0,88.7,5.0,4.5,6.67
Datsun GO Plus T Petrol,Pune,Petrol,Manual,First,32851,6,19.83,1198.0,67.0,7.0,3.95,6.45
Toyota Etios Liva 1.2 G,Ahmedabad,Petrol,Manual,First,53000,9,17.71,1197.0,78.9,5.0,3.9,6.41
Toyota Innova Crysta 2.8 ZX AT,Mumbai,Diesel,Automatic,First,30000,6,11.36,2755.0,171.5,7.0,19.25,27.0
Maruti Eeco 5 Seater AC,Coimbatore,Petrol,Manual,First,38053,6,15.1,1196.0,73.0,5.0,3.91,5.13
BMW 3 Series 320d Luxury Line,Mumbai,Diesel,Automatic,First,56087,8,22.69,1995.0,190.0,5.0,20.75,54.43
Nissan Micra XV CVT,Coimbatore,Petrol,Automatic,First,39882,7,19.15,1198.0,75.94,5.0,6.55,9.51
Maruti Vitara Brezza VDi,Mumbai,Diesel,Manual,First,55000,7,24.3,1248.0,88.5,5.0,7.5,9.96
Hyundai Verna CRDi 1.6 SX Option,Kolkata,Diesel,Manual,First,10250,5,22.0,1582.0,126.2,5.0,10.95,14.44
Maruti Alto K10 VXI,Hyderabad,Petrol,Manual,First,88500,9,24.07,998.0,67.1,5.0,2.6,4.53
Mercedes-Benz SLC 43 AMG,Kolkata,Petrol,Automatic,First,13372,6,19.0,2996.0,362.07,2.0,54.0,95.04
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,Petrol,Automatic,First,12645,4,17.0,1591.0,121.3,5.0,11.5,13.49
Audi RS5 Coupe,Mumbai,Petrol,Automatic,First,23000,10,11.05,2894.0,444.0,4.0,37.0,128.0
BMW 3 Series Luxury Line,Mumbai,Diesel,Automatic,First,48000,9,21.76,1995.0,190.0,5.0,26.5,60.88
